Id,Text,Highlight,Cursor,Description,Next
CA|CP|B|10316510,29 Jeanette St,,0,"Scarborough, ON, M1M 3G3",Retrieve
CA|CP|B|10303003,31 Jeanette St,,0,"Scarborough, ON, M1M 3G3",Retrieve
CA|CP|B|10303004,33 Jeanette St,,0,"Scarborough, ON, M1M 3G3",Retrieve
CA|CP|B|10303005,35 Jeanette St,,0,"Scarborough, ON, M1M 3G3",Retrieve
CA|CP|B|10303006,37 Jeanette St,,0,"Scarborough, ON, M1M 3G3",Retrieve
CA|CP|B|13066623,65 Jeanette St,,0,"Scarborough, ON, M1M 3G3",Retrieve
CA|CP|B|13066622,67 Jeanette St,,0,"Scarborough, ON, M1M 3G3",Retrieve
CA|CP|B|13062061,69 Jeanette St,,0,"Scarborough, ON, M1M 3G3",Retrieve
CA|CP|B|13086335,71 Jeanette St,,0,"Scarborough, ON, M1M 3G3",Retrieve
CA|CP|B|13086336,73 Jeanette St,,0,"Scarborough, ON, M1M 3G3",Retrieve
CA|CP|B|13062296,75 Jeanette St,,0,"Scarborough, ON, M1M 3G3",Retrieve
CA|CP|B|13061558,77 Jeanette St,,0,"Scarborough, ON, M1M 3G3",Retrieve
CA|CP|B|13066617,79 Jeanette St,,0,"Scarborough, ON, M1M 3G3",Retrieve
CA|CP|B|13061554,81 Jeanette St,,0,"Scarborough, ON, M1M 3G3",Retrieve
CA|CP|B|13086339,83 Jeanette St,,0,"Scarborough, ON, M1M 3G3",Retrieve
CA|CP|B|13061551,85 Jeanette St,,0,"Scarborough, ON, M1M 3G3",Retrieve
CA|CP|B|13066857,87 Jeanette St,,0,"Scarborough, ON, M1M 3G3",Retrieve
CA|CP|B|18938226,19A Brimley Rd,,0,"Scarborough, ON, M1M 0C8",Retrieve
CA|CP|B|18938227,19B Brimley Rd,,0,"Scarborough, ON, M1M 0C8",Retrieve
CA|CP|B|18942317,3757A St Clair Ave E,,0,"Scarborough, ON, M1M 0C8",Retrieve
CA|CP|B|18942318,3757B St Clair Ave E,,0,"Scarborough, ON, M1M 0C8",Retrieve
CA|CP|B|18942319,3759A St Clair Ave E,,0,"Scarborough, ON, M1M 0C8",Retrieve
CA|CP|B|18942320,3759B St Clair Ave E,,0,"Scarborough, ON, M1M 0C8",Retrieve
CA|CP|B|18942322,3761A St Clair Ave E,,0,"Scarborough, ON, M1M 0C8",Retrieve
CA|CP|B|18942323,3761B St Clair Ave E,,0,"Scarborough, ON, M1M 0C8",Retrieve
CA|CP|B|18942325,3765A St Clair Ave E,,0,"Scarborough, ON, M1M 0C8",Retrieve
CA|CP|B|18942326,3765B St Clair Ave E,,0,"Scarborough, ON, M1M 0C8",Retrieve
CA|CP|B|18942329,3767A St Clair Ave E,,0,"Scarborough, ON, M1M 0C8",Retrieve
CA|CP|B|18942330,3767B St Clair Ave E,,0,"Scarborough, ON, M1M 0C8",Retrieve
CA|CP|B|18942331,3769 St Clair Ave E,,0,"Scarborough, ON, M1M 0C8",Retrieve
CA|CP|B|18942337,1 Water Willow Lane,,0,"Scarborough, ON, M1M 0C8",Retrieve
CA|CP|B|18942336,2 Water Willow Lane,,0,"Scarborough, ON, M1M 0C8",Retrieve
CA|CP|B|18942338,3 Water Willow Lane,,0,"Scarborough, ON, M1M 0C8",Retrieve
CA|CP|B|18942335,4 Water Willow Lane,,0,"Scarborough, ON, M1M 0C8",Retrieve
CA|CP|B|18942340,5 Water Willow Lane,,0,"Scarborough, ON, M1M 0C8",Retrieve
CA|CP|B|18942342,6 Water Willow Lane,,0,"Scarborough, ON, M1M 0C8",Retrieve
CA|CP|B|18942341,7 Water Willow Lane,,0,"Scarborough, ON, M1M 0C8",Retrieve
CA|CP|B|18942334,8 Water Willow Lane,,0,"Scarborough, ON, M1M 0C8",Retrieve
CA|CP|B|18942333,9 Water Willow Lane,,0,"Scarborough, ON, M1M 0C8",Retrieve
CA|CP|B|18942332,10 Water Willow Lane,,0,"Scarborough, ON, M1M 0C8",Retrieve
CA|CP|B|10304939,20 McCowan Rd,,0,"Scarborough, ON, M1M 3L9",Retrieve
CA|CP|B|10304940,22 McCowan Rd,,0,"Scarborough, ON, M1M 3L9",Retrieve
CA|CP|B|10300126,24 McCowan Rd,,0,"Scarborough, ON, M1M 3L9",Retrieve
CA|CP|B|10304941,26 McCowan Rd,,0,"Scarborough, ON, M1M 3L9",Retrieve
CA|CP|B|10304942,28 McCowan Rd,,0,"Scarborough, ON, M1M 3L9",Retrieve
CA|CP|B|10304943,30 McCowan Rd,,0,"Scarborough, ON, M1M 3L9",Retrieve
CA|CP|B|10304944,34 McCowan Rd,,0,"Scarborough, ON, M1M 3L9",Retrieve
CA|CP|B|10304946,36A McCowan Rd,,0,"Scarborough, ON, M1M 3L9",Retrieve
CA|CP|B|10304945,36B McCowan Rd,,0,"Scarborough, ON, M1M 3L9",Retrieve
CA|CP|B|10304947,38 McCowan Rd,,0,"Scarborough, ON, M1M 3L9",Retrieve
