Id,Text,Highlight,Cursor,Description,Next
CA|CP|B|6303892,80 Wimbleton Rd,,0,"Etobicoke, ON, M9A 3S5",Retrieve
CA|CP|B|6360524,86 Wimbleton Rd,,0,"Etobicoke, ON, M9A 3S5",Retrieve
CA|CP|B|6377685,50 Lambeth Rd,,0,"Etobicoke, ON, M9A 2Y9",Retrieve
CA|CP|B|6303418,52 Lambeth Rd,,0,"Etobicoke, ON, M9A 2Y9",Retrieve
CA|CP|B|624031,56 Lambeth Rd,,0,"Etobicoke, ON, M9A 2Y9",Retrieve
CA|CP|B|6312957,9 Saint Georges Rd,,0,"Etobicoke, ON, M9A 3S9",Retrieve
CA|CP|B|6284418,11 Saint Georges Rd,,0,"Etobicoke, ON, M9A 3S9",Retrieve
CA|CP|B|6277306,15 Saint Georges Rd,,0,"Etobicoke, ON, M9A 3S9",Retrieve
CA|CP|B|6286506,17 Saint Georges Rd,,0,"Etobicoke, ON, M9A 3S9",Retrieve
CA|CP|B|6295253,19 Saint Georges Rd,,0,"Etobicoke, ON, M9A 3S9",Retrieve
CA|CP|B|6324750,4 Heathrow Crt,,0,"Etobicoke, ON, M9A 3A3",Retrieve
CA|CP|B|6327893,6 Heathrow Crt,,0,"Etobicoke, ON, M9A 3A3",Retrieve
CA|CP|B|6297695,3 Lambeth Cres,,0,"Etobicoke, ON, M9A 3A6",Retrieve
CA|CP|B|6351164,5 Lambeth Cres,,0,"Etobicoke, ON, M9A 3A6",Retrieve
CA|CP|B|6348136,7 Lambeth Cres,,0,"Etobicoke, ON, M9A 3A6",Retrieve
CA|CP|B|6347590,9 Lambeth Cres,,0,"Etobicoke, ON, M9A 3A6",Retrieve
CA|CP|B|6326149,11 Lambeth Cres,,0,"Etobicoke, ON, M9A 3A6",Retrieve
CA|CP|B|6357918,15 Lambeth Cres,,0,"Etobicoke, ON, M9A 3A6",Retrieve
CA|CP|B|6374874,17 Lambeth Cres,,0,"Etobicoke, ON, M9A 3A6",Retrieve
CA|CP|B|6358613,19 Lambeth Cres,,0,"Etobicoke, ON, M9A 3A6",Retrieve
CA|CP|B|6293772,21 Lambeth Cres,,0,"Etobicoke, ON, M9A 3A6",Retrieve
CA|CP|B|6377448,23 Lambeth Cres,,0,"Etobicoke, ON, M9A 3A6",Retrieve
CA|CP|B|6321567,1417 Islington Ave,,0,"Etobicoke, ON, M9A 3K8",Retrieve
CA|CP|B|6255387,1421 Islington Ave,,0,"Etobicoke, ON, M9A 3K8",Retrieve
CA|CP|B|6282753,1423 Islington Ave,,0,"Etobicoke, ON, M9A 3K8",Retrieve
CA|CP|B|6258277,1425 Islington Ave,,0,"Etobicoke, ON, M9A 3K8",Retrieve
CA|CP|B|6261394,1427 Islington Ave,,0,"Etobicoke, ON, M9A 3K8",Retrieve
CA|CP|B|6277259,1431 Islington Ave,,0,"Etobicoke, ON, M9A 3K8",Retrieve
CA|CP|B|6287729,1433 Islington Ave,,0,"Etobicoke, ON, M9A 3K8",Retrieve
CA|CP|B|6334693,1435 Islington Ave,,0,"Etobicoke, ON, M9A 3K8",Retrieve
CA|CP|B|6271979,1437 Islington Ave,,0,"Etobicoke, ON, M9A 3K8",Retrieve
CA|CP|B|6287544,1441 Islington Ave,,0,"Etobicoke, ON, M9A 3K8",Retrieve
CA|CP|B|6257000,1443 Islington Ave,,0,"Etobicoke, ON, M9A 3K8",Retrieve
CA|CP|B|6261689,1445 Islington Ave,,0,"Etobicoke, ON, M9A 3K8",Retrieve
CA|CP|B|6443506,259 The Kingsway,,0,"Etobicoke, ON, M9A 3T6",Retrieve
CA|CP|B|6449658,1501 Islington Ave,,0,"Etobicoke, ON, M9A 3L9",Retrieve
CA|CP|B|6286639,1 Bridgewater Rd,,0,"Etobicoke, ON, M9A 2Z2",Retrieve
CA|CP|B|6262653,8 Hilldowntree Rd,,0,"Etobicoke, ON, M9A 2Z5",Retrieve
CA|CP|B|6297244,10 Hilldowntree Rd,,0,"Etobicoke, ON, M9A 2Z5",Retrieve
CA|CP|B|6288673,12 Hilldowntree Rd,,0,"Etobicoke, ON, M9A 2Z5",Retrieve
CA|CP|B|6262531,14 Hilldowntree Rd,,0,"Etobicoke, ON, M9A 2Z5",Retrieve
CA|CP|B|6298689,41 Wimbleton Rd,,0,"Etobicoke, ON, M9A 3S2",Retrieve
CA|CP|B|6322432,43 Wimbleton Rd,,0,"Etobicoke, ON, M9A 3S2",Retrieve
CA|CP|B|6279729,1 Finchley Rd,,0,"Etobicoke, ON, M9A 2X2",Retrieve
CA|CP|B|6332252,3 Finchley Rd,,0,"Etobicoke, ON, M9A 2X2",Retrieve
CA|CP|B|6292861,1515 Islington Ave,,0,"Etobicoke, ON, M9A 3M1",Retrieve
CA|CP|B|6397589,31 Taylorwood Dr,,0,"Etobicoke, ON, M9A 4S1",Retrieve
CA|CP|B|6437738,33 Taylorwood Dr,,0,"Etobicoke, ON, M9A 4S1",Retrieve
CA|CP|B|6414344,35 Taylorwood Dr,,0,"Etobicoke, ON, M9A 4S1",Retrieve
CA|CP|B|6461321,37 Taylorwood Dr,,0,"Etobicoke, ON, M9A 4S1",Retrieve
CA|CP|B|6245327,39 Taylorwood Dr,,0,"Etobicoke, ON, M9A 4S1",Retrieve
CA|CP|B|6450065,45 Edgevalley Dr,,0,"Etobicoke, ON, M9A 4P2",Retrieve
CA|CP|B|6409420,47 Edgevalley Dr,,0,"Etobicoke, ON, M9A 4P2",Retrieve
CA|CP|B|6397788,49 Edgevalley Dr,,0,"Etobicoke, ON, M9A 4P2",Retrieve
CA|CP|B|6435420,53 Edgevalley Dr,,0,"Etobicoke, ON, M9A 4P2",Retrieve
CA|CP|B|6466573,55 Edgevalley Dr,,0,"Etobicoke, ON, M9A 4P2",Retrieve
CA|CP|B|6245300,57 Edgevalley Dr,,0,"Etobicoke, ON, M9A 4P2",Retrieve
CA|CP|B|6390049,59 Edgevalley Dr,,0,"Etobicoke, ON, M9A 4P2",Retrieve
CA|CP|B|6383924,61 Edgevalley Dr,,0,"Etobicoke, ON, M9A 4P2",Retrieve
CA|CP|B|6283127,6 Edgehill Rd,,0,"Etobicoke, ON, M9A 4N3",Retrieve
CA|CP|B|6275206,8 Edgehill Rd,,0,"Etobicoke, ON, M9A 4N3",Retrieve
CA|CP|B|6257347,10 Edgehill Rd,,0,"Etobicoke, ON, M9A 4N3",Retrieve
CA|CP|B|6259788,12 Edgehill Rd,,0,"Etobicoke, ON, M9A 4N3",Retrieve
CA|CP|B|6292167,14 Edgehill Rd,,0,"Etobicoke, ON, M9A 4N3",Retrieve
CA|CP|B|6245562,16 Edgehill Rd,,0,"Etobicoke, ON, M9A 4N3",Retrieve
CA|CP|B|6293065,18 Edgehill Rd,,0,"Etobicoke, ON, M9A 4N3",Retrieve
CA|CP|B|6245355,20 Edgehill Rd,,0,"Etobicoke, ON, M9A 4N3",Retrieve
CA|CP|B|6280429,24 Edgehill Rd,,0,"Etobicoke, ON, M9A 4N3",Retrieve
CA|CP|B|6369880,14 Finchley Rd,,0,"Etobicoke, ON, M9A 2X5",Retrieve
CA|CP|B|6300505,16 Finchley Rd,,0,"Etobicoke, ON, M9A 2X5",Retrieve
