Id,Text,Highlight,Cursor,Description,Next
CA|CP|B|1888926,4 Chalfont Rd,,0,"Etobicoke, ON, M9W 3S1",Retrieve
CA|CP|B|1448920,6 Chalfont Rd,,0,"Etobicoke, ON, M9W 3S1",Retrieve
CA|CP|B|1887191,8 Chalfont Rd,,0,"Etobicoke, ON, M9W 3S1",Retrieve
CA|CP|B|3858757,10 Chalfont Rd,,0,"Etobicoke, ON, M9W 3S1",Retrieve
CA|CP|B|2149934,12 Chalfont Rd,,0,"Etobicoke, ON, M9W 3S1",Retrieve
CA|CP|B|2137541,14 Chalfont Rd,,0,"Etobicoke, ON, M9W 3S1",Retrieve
CA|CP|B|6111027,32 Allenby Ave,,0,"Etobicoke, ON, M9W 1S6",Retrieve
CA|CP|B|6097686,34 Allenby Ave,,0,"Etobicoke, ON, M9W 1S6",Retrieve
CA|CP|B|6111038,36 Allenby Ave,,0,"Etobicoke, ON, M9W 1S6",Retrieve
CA|CP|B|6113787,38 Allenby Ave,,0,"Etobicoke, ON, M9W 1S6",Retrieve
CA|CP|B|6105653,40 Allenby Ave,,0,"Etobicoke, ON, M9W 1S6",Retrieve
CA|CP|B|6111058,42 Allenby Ave,,0,"Etobicoke, ON, M9W 1S6",Retrieve
CA|CP|B|6089551,44 Allenby Ave,,0,"Etobicoke, ON, M9W 1S6",Retrieve
CA|CP|B|6105651,46 Allenby Ave,,0,"Etobicoke, ON, M9W 1S6",Retrieve
CA|CP|B|6105641,48 Allenby Ave,,0,"Etobicoke, ON, M9W 1S6",Retrieve
CA|CP|B|6105632,50 Allenby Ave,,0,"Etobicoke, ON, M9W 1S6",Retrieve
CA|CP|B|6113788,52 Allenby Ave,,0,"Etobicoke, ON, M9W 1S6",Retrieve
CA|CP|B|6111025,54 Allenby Ave,,0,"Etobicoke, ON, M9W 1S6",Retrieve
CA|CP|B|6105657,56 Allenby Ave,,0,"Etobicoke, ON, M9W 1S6",Retrieve
CA|CP|B|6089552,58 Allenby Ave,,0,"Etobicoke, ON, M9W 1S6",Retrieve
CA|CP|B|6111021,60 Allenby Ave,,0,"Etobicoke, ON, M9W 1S6",Retrieve
CA|CP|B|6105643,62 Allenby Ave,,0,"Etobicoke, ON, M9W 1S6",Retrieve
CA|CP|B|6097695,64 Allenby Ave,,0,"Etobicoke, ON, M9W 1S6",Retrieve
CA|CP|B|6097674,66 Allenby Ave,,0,"Etobicoke, ON, M9W 1S6",Retrieve
CA|CP|B|6086829,68 Allenby Ave,,0,"Etobicoke, ON, M9W 1S6",Retrieve
CA|CP|B|6111053,70 Allenby Ave,,0,"Etobicoke, ON, M9W 1S6",Retrieve
CA|CP|B|6097678,72 Allenby Ave,,0,"Etobicoke, ON, M9W 1S6",Retrieve
