Id,Text,Highlight,Cursor,Description,Next
CA|CP|B|803085006,6415 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4348227,68-6415 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4332220,69-6415 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4353957,70-6415 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|367523,71-6415 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4340388,72-6415 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4331686,73-6415 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4351331,74-6415 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|803085597,6421 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4337549,75-6421 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4359379,76-6421 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4337787,77-6421 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4350897,78-6421 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4329184,79-6421 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4353805,80-6421 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|803085286,6429 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4367177,81-6429 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4367781,82-6429 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4359272,83-6429 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4348476,84-6429 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|1320339,85-6429 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4334563,86-6429 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4342844,87-6429 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4337765,88-6429 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4345845,89-6429 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4370192,90-6429 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4342821,91-6429 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4347917,92-6429 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4369956,93-6429 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4364272,94-6429 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4340149,95-6429 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4342906,96-6429 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4351226,97-6429 Finch Ave W,,0,"Etobicoke, ON, M9V 1T3",Retrieve
CA|CP|B|4361676,1 Edenrock Crt,,0,"Etobicoke, ON, M9V 3P8",Retrieve
CA|CP|B|4350752,2 Edenrock Crt,,0,"Etobicoke, ON, M9V 3P8",Retrieve
CA|CP|B|4339958,3 Edenrock Crt,,0,"Etobicoke, ON, M9V 3P8",Retrieve
CA|CP|B|4334462,4 Edenrock Crt,,0,"Etobicoke, ON, M9V 3P8",Retrieve
CA|CP|B|4342698,5 Edenrock Crt,,0,"Etobicoke, ON, M9V 3P8",Retrieve
CA|CP|B|4348092,1 Teresa Crt,,0,"Etobicoke, ON, M9V 4Y5",Retrieve
CA|CP|B|4359281,3 Teresa Crt,,0,"Etobicoke, ON, M9V 4Y5",Retrieve
CA|CP|B|4356085,4 Teresa Crt,,0,"Etobicoke, ON, M9V 4Y5",Retrieve
CA|CP|B|617774,5 Teresa Crt,,0,"Etobicoke, ON, M9V 4Y5",Retrieve
CA|CP|B|4348229,6 Teresa Crt,,0,"Etobicoke, ON, M9V 4Y5",Retrieve
CA|CP|B|4337503,7 Teresa Crt,,0,"Etobicoke, ON, M9V 4Y5",Retrieve
CA|CP|B|4331942,8 Teresa Crt,,0,"Etobicoke, ON, M9V 4Y5",Retrieve
CA|CP|B|4350669,9 Teresa Crt,,0,"Etobicoke, ON, M9V 4Y5",Retrieve
CA|CP|B|4356159,10 Teresa Crt,,0,"Etobicoke, ON, M9V 4Y5",Retrieve
CA|CP|B|4345534,11 Teresa Crt,,0,"Etobicoke, ON, M9V 4Y5",Retrieve
CA|CP|B|4331856,12 Teresa Crt,,0,"Etobicoke, ON, M9V 4Y5",Retrieve
CA|CP|B|3888440,14 Teresa Crt,,0,"Etobicoke, ON, M9V 4Y5",Retrieve
CA|CP|B|617794,15 Teresa Crt,,0,"Etobicoke, ON, M9V 4Y5",Retrieve
CA|CP|B|4367054,16 Teresa Crt,,0,"Etobicoke, ON, M9V 4Y5",Retrieve
CA|CP|B|4350962,17 Teresa Crt,,0,"Etobicoke, ON, M9V 4Y5",Retrieve
