Id,Text,Highlight,Cursor,Description,Next
CA|CP|B|6090091,2 Orford Pl,,0,"Etobicoke, ON, M9W 4B1",Retrieve
CA|CP|B|6092832,3 Orford Pl,,0,"Etobicoke, ON, M9W 4B1",Retrieve
CA|CP|B|6090074,4 Orford Pl,,0,"Etobicoke, ON, M9W 4B1",Retrieve
CA|CP|B|6095506,5 Orford Pl,,0,"Etobicoke, ON, M9W 4B1",Retrieve
CA|CP|B|6090113,6 Orford Pl,,0,"Etobicoke, ON, M9W 4B1",Retrieve
CA|CP|B|6098165,7 Orford Pl,,0,"Etobicoke, ON, M9W 4B1",Retrieve
CA|CP|B|6098160,8 Orford Pl,,0,"Etobicoke, ON, M9W 4B1",Retrieve
CA|CP|B|6090110,9 Orford Pl,,0,"Etobicoke, ON, M9W 4B1",Retrieve
CA|CP|B|6090114,10 Orford Pl,,0,"Etobicoke, ON, M9W 4B1",Retrieve
CA|CP|B|1053524,51 Genthorn Ave,,0,"Etobicoke, ON, M9W 2T1",Retrieve
CA|CP|B|1546297,53 Genthorn Ave,,0,"Etobicoke, ON, M9W 2T1",Retrieve
CA|CP|B|1645690,55 Genthorn Ave,,0,"Etobicoke, ON, M9W 2T1",Retrieve
CA|CP|B|1363571,57 Genthorn Ave,,0,"Etobicoke, ON, M9W 2T1",Retrieve
CA|CP|B|1363562,59 Genthorn Ave,,0,"Etobicoke, ON, M9W 2T1",Retrieve
CA|CP|B|1566653,61 Genthorn Ave,,0,"Etobicoke, ON, M9W 2T1",Retrieve
CA|CP|B|1728979,63 Genthorn Ave,,0,"Etobicoke, ON, M9W 2T1",Retrieve
CA|CP|B|942618,65 Genthorn Ave,,0,"Etobicoke, ON, M9W 2T1",Retrieve
CA|CP|B|827990,67 Genthorn Ave,,0,"Etobicoke, ON, M9W 2T1",Retrieve
CA|CP|B|879813,69 Genthorn Ave,,0,"Etobicoke, ON, M9W 2T1",Retrieve
CA|CP|B|1372050,71 Genthorn Ave,,0,"Etobicoke, ON, M9W 2T1",Retrieve
CA|CP|B|1302399,73 Genthorn Ave,,0,"Etobicoke, ON, M9W 2T1",Retrieve
CA|CP|B|1564588,11 Genthorn Ave,,0,"Etobicoke, ON, M9W 2S8",Retrieve
CA|CP|B|1645689,15 Genthorn Ave,,0,"Etobicoke, ON, M9W 2S8",Retrieve
CA|CP|B|1140680,17 Genthorn Ave,,0,"Etobicoke, ON, M9W 2S8",Retrieve
CA|CP|B|1140667,19 Genthorn Ave,,0,"Etobicoke, ON, M9W 2S8",Retrieve
CA|CP|B|1327134,21 Genthorn Ave,,0,"Etobicoke, ON, M9W 2S8",Retrieve
CA|CP|B|1401271,23 Genthorn Ave,,0,"Etobicoke, ON, M9W 2S8",Retrieve
CA|CP|B|7378724,25 Genthorn Ave,,0,"Etobicoke, ON, M9W 2S8",Retrieve
CA|CP|B|7383974,27 Genthorn Ave,,0,"Etobicoke, ON, M9W 2S8",Retrieve
CA|CP|B|7363140,29 Genthorn Ave,,0,"Etobicoke, ON, M9W 2S8",Retrieve
CA|CP|B|7347066,31 Genthorn Ave,,0,"Etobicoke, ON, M9W 2S8",Retrieve
CA|CP|B|7368372,33 Genthorn Ave,,0,"Etobicoke, ON, M9W 2S8",Retrieve
CA|CP|B|7360372,35 Genthorn Ave,,0,"Etobicoke, ON, M9W 2S8",Retrieve
CA|CP|B|7383971,37 Genthorn Ave,,0,"Etobicoke, ON, M9W 2S8",Retrieve
CA|CP|B|7378723,39 Genthorn Ave,,0,"Etobicoke, ON, M9W 2S8",Retrieve
CA|CP|B|1375257,41 Genthorn Ave,,0,"Etobicoke, ON, M9W 2S8",Retrieve
CA|CP|B|2995361,43 Genthorn Ave,,0,"Etobicoke, ON, M9W 2S8",Retrieve
CA|CP|B|2995387,45 Genthorn Ave,,0,"Etobicoke, ON, M9W 2S8",Retrieve
CA|CP|B|929115,47 Genthorn Ave,,0,"Etobicoke, ON, M9W 2S8",Retrieve
CA|CP|B|1291775,49 Genthorn Ave,,0,"Etobicoke, ON, M9W 2S8",Retrieve
CA|CP|B|6111570,1 Snaresbrook Dr,,0,"Etobicoke, ON, M9W 2N5",Retrieve
CA|CP|B|6108911,3 Snaresbrook Dr,,0,"Etobicoke, ON, M9W 2N5",Retrieve
CA|CP|B|6079330,5 Snaresbrook Dr,,0,"Etobicoke, ON, M9W 2N5",Retrieve
CA|CP|B|6111580,7 Snaresbrook Dr,,0,"Etobicoke, ON, M9W 2N5",Retrieve
CA|CP|B|6114363,9 Snaresbrook Dr,,0,"Etobicoke, ON, M9W 2N5",Retrieve
CA|CP|B|6108939,11 Snaresbrook Dr,,0,"Etobicoke, ON, M9W 2N5",Retrieve
CA|CP|B|6114336,15 Snaresbrook Dr,,0,"Etobicoke, ON, M9W 2N5",Retrieve
CA|CP|B|6114360,17 Snaresbrook Dr,,0,"Etobicoke, ON, M9W 2N5",Retrieve
CA|CP|B|6108915,19 Snaresbrook Dr,,0,"Etobicoke, ON, M9W 2N5",Retrieve
CA|CP|B|6106215,21 Snaresbrook Dr,,0,"Etobicoke, ON, M9W 2N5",Retrieve
CA|CP|B|6114332,23 Snaresbrook Dr,,0,"Etobicoke, ON, M9W 2N5",Retrieve
CA|CP|B|6117028,25 Snaresbrook Dr,,0,"Etobicoke, ON, M9W 2N5",Retrieve
CA|CP|B|6119806,27 Snaresbrook Dr,,0,"Etobicoke, ON, M9W 2N5",Retrieve
CA|CP|B|6106217,29 Snaresbrook Dr,,0,"Etobicoke, ON, M9W 2N5",Retrieve
CA|CP|B|6114343,31 Snaresbrook Dr,,0,"Etobicoke, ON, M9W 2N5",Retrieve
CA|CP|B|6108929,33 Snaresbrook Dr,,0,"Etobicoke, ON, M9W 2N5",Retrieve
CA|CP|B|6114348,35 Snaresbrook Dr,,0,"Etobicoke, ON, M9W 2N5",Retrieve
CA|CP|B|6079342,37 Snaresbrook Dr,,0,"Etobicoke, ON, M9W 2N5",Retrieve
CA|CP|B|6108933,39 Snaresbrook Dr,,0,"Etobicoke, ON, M9W 2N5",Retrieve
CA|CP|B|4802095,2466 Islington Ave,,0,"Etobicoke, ON, M9W 3Y1",Retrieve
CA|CP|B|4998774,2468 Islington Ave,,0,"Etobicoke, ON, M9W 3Y1",Retrieve
CA|CP|B|2142402,2470 Islington Ave,,0,"Etobicoke, ON, M9W 3Y1",Retrieve
CA|CP|B|5008530,2472 Islington Ave,,0,"Etobicoke, ON, M9W 3Y1",Retrieve
CA|CP|B|5032424,2476 Islington Ave,,0,"Etobicoke, ON, M9W 3Y1",Retrieve
CA|CP|B|6106226,2250 Islington Ave,,0,"Etobicoke, ON, M9W 3W4",Retrieve
CA|CP|B|3888867,200 Elmhurst Dr,,0,"Etobicoke, ON, M9W 2L4",Retrieve
CA|CP|B|3888862,202 Elmhurst Dr,,0,"Etobicoke, ON, M9W 2L4",Retrieve
CA|CP|B|6105043,2 Crowland Dr,,0,"Etobicoke, ON, M9W 2S4",Retrieve
