Id,Text,Highlight,Cursor,Description,Next
CA|CP|B|4367424,33 Bridgenorth Cres,,0,"Etobicoke, ON, M9V 2M5",Retrieve
CA|CP|B|4369819,35 Bridgenorth Cres,,0,"Etobicoke, ON, M9V 2M5",Retrieve
CA|CP|B|4358828,37 Bridgenorth Cres,,0,"Etobicoke, ON, M9V 2M5",Retrieve
CA|CP|B|4329501,39 Bridgenorth Cres,,0,"Etobicoke, ON, M9V 2M5",Retrieve
CA|CP|B|4329547,41 Bridgenorth Cres,,0,"Etobicoke, ON, M9V 2M5",Retrieve
CA|CP|B|907449,43 Bridgenorth Cres,,0,"Etobicoke, ON, M9V 2M5",Retrieve
CA|CP|B|4332122,45 Bridgenorth Cres,,0,"Etobicoke, ON, M9V 2M5",Retrieve
CA|CP|B|4370283,47 Bridgenorth Cres,,0,"Etobicoke, ON, M9V 2M5",Retrieve
CA|CP|B|4342756,49 Bridgenorth Cres,,0,"Etobicoke, ON, M9V 2M5",Retrieve
CA|CP|B|1192490,51 Bridgenorth Cres,,0,"Etobicoke, ON, M9V 2M5",Retrieve
CA|CP|B|4370142,53 Bridgenorth Cres,,0,"Etobicoke, ON, M9V 2M5",Retrieve
CA|CP|B|4342555,55 Bridgenorth Cres,,0,"Etobicoke, ON, M9V 2M5",Retrieve
CA|CP|B|4350646,57 Bridgenorth Cres,,0,"Etobicoke, ON, M9V 2M5",Retrieve
CA|CP|B|4359175,59 Bridgenorth Cres,,0,"Etobicoke, ON, M9V 2M5",Retrieve
CA|CP|B|4367338,61 Bridgenorth Cres,,0,"Etobicoke, ON, M9V 2M5",Retrieve
CA|CP|B|1911835,63 Bridgenorth Cres,,0,"Etobicoke, ON, M9V 2M5",Retrieve
CA|CP|B|4367268,65 Bridgenorth Cres,,0,"Etobicoke, ON, M9V 2M5",Retrieve
CA|CP|B|4356356,4 Ladywood Dr,,0,"Etobicoke, ON, M9V 1K9",Retrieve
CA|CP|B|3893251,6 Ladywood Dr,,0,"Etobicoke, ON, M9V 1K9",Retrieve
CA|CP|B|3878320,8 Ladywood Dr,,0,"Etobicoke, ON, M9V 1K9",Retrieve
CA|CP|B|3445837,10 Ladywood Dr,,0,"Etobicoke, ON, M9V 1K9",Retrieve
CA|CP|B|4359250,12 Ladywood Dr,,0,"Etobicoke, ON, M9V 1K9",Retrieve
CA|CP|B|4332274,14 Ladywood Dr,,0,"Etobicoke, ON, M9V 1K9",Retrieve
CA|CP|B|4370214,16 Ladywood Dr,,0,"Etobicoke, ON, M9V 1K9",Retrieve
CA|CP|B|1717085,18 Ladywood Dr,,0,"Etobicoke, ON, M9V 1K9",Retrieve
CA|CP|B|4362043,20 Ladywood Dr,,0,"Etobicoke, ON, M9V 1K9",Retrieve
CA|CP|B|4361961,7 Todd Brook Dr,,0,"Etobicoke, ON, M9V 1R5",Retrieve
CA|CP|B|4350587,9 Todd Brook Dr,,0,"Etobicoke, ON, M9V 1R5",Retrieve
CA|CP|B|4334753,11 Todd Brook Dr,,0,"Etobicoke, ON, M9V 1R5",Retrieve
